Current Build;FAMILY;STATUS;PLATFORM;FLOW;SITE;USERNAME;TESTCASENAME;Error String;CR;notes;Reference Build;Reference Family;Reference Status;Reference Platform;Reference Flow;Reference Site;Reference User;Reference Error Message
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_0;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 318 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 318 I/O ports 
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_1;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 318 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 318 I/O ports 
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_2;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 450 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 450 I/O ports 
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_3;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 450 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 450 I/O ports 
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_5;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 318 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 318 I/O ports 
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_6;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 450 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 450 I/O ports 
14.2_0606;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;ahblite_bridge_daily_a7_35422_7;ERROR: [Place 30-415] IO Placement failed due to overutilization. This design contains 450 I/O ports ;1;;14.2_0605;ARTIX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; IO Placement failed due to overutilization. This design contains 450 I/O ports 
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;apb_bridge_test_18911_0;ERROR: [Vivado 12-1062] Invalid parameter property name 'CONFIG.c_s_axi_rng1_highaddr' on IP ;1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; Invalid parameter property name 'CONFIG.c_s_axi_rng1_highaddr' on IP 
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;apb_bridge_test_18911_1;ERROR: [Vivado 12-1062] Invalid parameter property name 'CONFIG.c_s_axi_rng1_highaddr' on IP ;1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; Invalid parameter property name 'CONFIG.c_s_axi_rng1_highaddr' on IP 
14.2_0606;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE;apb_bridge_test_18911_2;ERROR: [Vivado 12-1062] Invalid parameter property name 'CONFIG.c_s_axi_rng1_highaddr' on IP ;1;;14.2_0605;KINTEX7;FAIL;LIN64;COREGENIP;IN;KARTHEE; Invalid parameter property name 'CONFIG.c_s_axi_rng1_highaddr' on IP 
